cycle,modeldate,candidate_inc,candidate_chal,ecwin_inc,ecwin_chal,ecwin_3rd,ec_nomajority,popwin_inc,popwin_chal,popwin_3rd,ev_inc,ev_chal,ev_3rd,ev_inc_hi,ev_chal_hi,ev_3rd_hi,ev_inc_lo,ev_chal_lo,ev_3rd_lo,national_voteshare_inc,national_voteshare_chal,national_voteshare_3rd,nat_voteshare_other,national_voteshare_inc_hi,national_voteshare_chal_hi,national_voteshare_3rd_hi,nat_voteshare_other_hi,national_voteshare_inc_lo,national_voteshare_chal_lo,national_voteshare_3rd_lo,nat_voteshare_other_lo,national_turnout,national_turnout_hi,national_turnout_lo,timestamp,simulations
2020,11/3/2020,Trump,Biden,0.1039,0.8916,,0.0045,0.0257,0.9743,,189.5133,348.4867,,271,419.0,,119.0,267,,45.373470000000005,53.37624,,1.250291,47.85099,55.83899,,1.842986,42.912620000000004,50.87952,,0.7244333000000001,157972048.0,168424640.0,147487920.0,00:00:48  3 Nov 2020,40000
2020,11/2/2020,Trump,Biden,0.102675,0.8932,,0.004125,0.025625,0.974375,,189.5295,348.4705,,271,419.0,,119.0,267,,45.373470000000005,53.37624,,1.250291,47.8502,55.83824,,1.842986,42.91348,50.88025,,0.7244333000000001,157972048.0,168424640.0,147487920.0,23:45:03  2 Nov 2020,40000
2020,11/1/2020,Trump,Biden,0.10285,0.892825,,0.004325,0.0289,0.9711,,190.0875,347.9125,,270,419.0,,119.0,268,,45.50108,53.277530000000006,,1.221387,47.97809,55.76475,,1.82349,43.03094,50.77527,,0.6895916,157737856.0,168190448.0,147253728.0,23:11:03  1 Nov 2020,40000
2020,10/31/2020,Trump,Biden,0.105625,0.8883,,0.006075,0.029525,0.970475,,190.6819,347.3181,,273,419.0,,119.0,265,,45.486999999999995,53.286080000000005,,1.226916,47.99736,55.80073,,1.835479,42.980959999999996,50.747640000000004,,0.6898021,158044784.0,168497376.0,147560672.0,22:23:03 31 Oct 2020,40000
2020,10/30/2020,Trump,Biden,0.099625,0.8958,,0.004575,0.030175,0.969825,,190.9733,347.0267,,269,419.0,,119.0,269,,45.468379999999996,53.297369999999994,,1.2342389999999999,48.0105,55.848209999999995,,1.847821,42.9251,50.72821,,0.6928369000000001,156723120.0,167175712.0,146239008.0,21:34:03 30 Oct 2020,40000
2020,10/29/2020,Trump,Biden,0.108975,0.886725,,0.0043,0.030525,0.969475,,191.1951,346.8049,,275,420.0,,118.0,263,,45.41101,53.340819999999994,,1.248171,47.99825,55.94868,,1.8661349999999999,42.81808,50.72867,,0.7026303,154000000.0,164000000.0,143000000.0,22:17:03 29 Oct 2020,40000
2020,10/28/2020,Trump,Biden,0.112575,0.88265,,0.004775,0.034175,0.965825,,195.15900000000002,342.841,,275,419.0,,119.0,263,,45.46624,53.28358000000001,,1.250183,48.0974,55.927119999999995,,1.872111,42.835029999999996,50.62366,,0.7014520000000001,154000000.0,164000000.0,143000000.0,21:36:04 28 Oct 2020,40000
2020,10/27/2020,Trump,Biden,0.1189,0.875525,,0.005575,0.035125,0.964875,,194.43400000000003,343.566,,278,419.0,,119.0,260,,45.43136,53.32009,,1.248548,48.11111,56.01546,,1.874326,42.748290000000004,50.611959999999996,,0.6969134,154000000.0,164000000.0,143000000.0,21:01:03 27 Oct 2020,40000
2020,10/26/2020,Trump,Biden,0.12355,0.870825,,0.005625,0.036275,0.963725,,194.4589,343.5411,,279,420.0,,118.0,259,,45.41864,53.330009999999994,,1.251342,48.141020000000005,56.063159999999996,,1.880471,42.695029999999996,50.58232,,0.6969583,154000000.0,164000000.0,143000000.0,20:38:03 26 Oct 2020,40000
2020,10/25/2020,Trump,Biden,0.123075,0.871125,,0.0058,0.037925,0.962075,,193.2231,344.7769,,279,420.0,,118.0,259,,45.40333,53.344319999999996,,1.2523520000000001,48.17115,56.123940000000005,,1.884866,42.63616,50.54306,,0.6952916,154000000.0,164000000.0,143000000.0,20:47:03 25 Oct 2020,40000
